YEAR,Rainfall,Tmax,Tmean,Tmin,gLat,gLon,n_wells
2014,604.21,33.284246575342465,26.73915068493151,21.535205479452056,11.5,77.5,173
2015,883.55,32.91783561643836,26.410739726027398,21.285397260273974,11.5,77.5,173
2016,425.6,34.624754098360654,27.479945355191255,21.790655737704917,11.5,77.5,173
2017,838.12,32.90698630136986,26.517095890410957,21.387671232876713,11.5,77.5,173
2018,693.17,33.28632876712329,26.55528767123288,21.252164383561645,11.5,77.5,173
2019,878.46,33.39802739726028,27.060931506849315,21.916054794520548,11.5,77.5,173
2020,859.27,32.8457650273224,26.635027322404373,21.67773224043716,11.5,77.5,173
2021,1240.1200000000001,31.568520547945205,25.679041095890412,21.0507397260274,11.5,77.5,173
2022,1041.49,31.866986301369867,25.798109589041093,21.018301369863014,11.5,77.5,173
2023,780.3,33.5667397260274,26.804794520547944,21.480986301369864,11.5,77.5,173
2024,1087.18,33.0414480874317,26.920765027322403,21.99568306010929,11.5,77.5,173
2025,741.03,32.7826301369863,26.30676712328767,21.318575342465753,11.5,77.5,173
1993,1185.43,29.799260273972603,24.0687397260274,19.760027397260274,11.0,76.875,136
1994,1282.47,29.354328767123288,23.84613698630137,19.776027397260275,11.0,76.875,136
1995,995.41,30.113616438356164,24.334191780821918,19.976767123287672,11.0,76.875,136
1996,1181.78,29.988087431693987,24.165956284153005,19.735273224043716,11.0,76.875,136
1997,1341.91,30.113260273972603,24.55402739726027,20.333342465753425,11.0,76.875,136
1998,1111.3700000000001,30.183808219178083,24.75427397260274,20.585534246575342,11.0,76.875,136
1999,994.41,29.825150684931508,24.04808219178082,19.77482191780822,11.0,76.875,136
2000,925.21,30.45568306010929,24.391639344262295,19.929371584699453,11.0,76.875,136
2001,1098.04,30.09317808219178,24.473808219178082,20.280931506849313,11.0,76.875,136
2002,891.12,30.91084931506849,24.82969863013699,20.28545205479452,11.0,76.875,136
2003,917.54,30.726246575342465,24.856520547945202,20.526712328767122,11.0,76.875,136
2004,1302.04,29.74311475409836,24.160109289617488,19.91204918032787,11.0,76.875,136
2005,1293.2,29.70698630136986,24.36808219178082,20.382520547945205,11.0,76.875,136
2006,1321.24,29.379643835616438,23.961589041095888,19.88723287671233,11.0,76.875,136
2007,1422.88,29.61208219178082,24.153780821917806,19.97649315068493,11.0,76.875,136
2008,1179.34,29.450218579234974,23.793715846994534,19.599836065573772,11.0,76.875,136
2009,1112.06,30.271835616438356,24.481890410958904,20.153561643835616,11.0,76.875,136
2010,1326.02,29.95386301369863,24.608438356164385,20.626109589041096,11.0,76.875,136
2011,1177.25,29.589917808219177,23.923397260273976,19.683095890410957,11.0,76.875,136
2012,752.46,31.059918032786886,24.834262295081967,20.235655737704917,11.0,76.875,136
2013,1070.05,30.44164383561644,24.7167397260274,20.444082191780822,11.0,76.875,136
2014,1177.5,30.13145205479452,24.663424657534247,20.487205479452054,11.0,76.875,136
2015,955.98,30.677342465753423,24.8447397260274,20.482,11.0,76.875,136
2016,698.69,31.987677595628416,25.48622950819672,20.67155737704918,11.0,76.875,136
2017,1217.72,30.236465753424657,24.649753424657533,20.371616438356167,11.0,76.875,136
2018,1325.92,29.972739726027395,24.444575342465754,20.21186301369863,11.0,76.875,136
2019,1360.16,30.87605479452055,25.220547945205478,20.92221917808219,11.0,76.875,136
2020,1259.41,30.317759562841527,24.88469945355191,20.76483606557377,11.0,76.875,136
2021,1603.91,29.024849315068494,24.05350684931507,20.307671232876714,11.0,76.875,136
2022,1519.59,29.3506301369863,24.140657534246575,20.22854794520548,11.0,76.875,136
2023,1145.2,30.787890410958905,24.857260273972603,20.35772602739726,11.0,76.875,136
2024,1388.26,30.470300546448087,25.175765027322406,21.091366120218577,11.0,76.875,136
2025,1198.35,29.898630136986302,24.493616438356163,20.46917808219178,11.0,76.875,136
1993,1551.3,29.065972602739727,23.80221917808219,19.96309589041096,10.5,76.875,61
1994,1741.93,28.464876712328767,23.545315068493153,19.921945205479453,10.5,76.875,61
1995,1393.29,29.09772602739726,23.921342465753426,20.07068493150685,10.5,76.875,61
1996,1504.35,29.1877868852459,23.889562841530054,19.912677595628416,10.5,76.875,61
1997,1819.36,29.421945205479453,24.272849315068495,20.46172602739726,10.5,76.875,61
1998,1458.91,29.548849315068495,24.505945205479453,20.76282191780822,10.5,76.875,61
1999,1301.08,28.78986301369863,23.6653698630137,19.936712328767122,10.5,76.875,61
2000,1170.68,29.30729508196721,23.913005464480875,20.02877049180328,10.5,76.875,61
2001,1540.89,29.128712328767122,24.08709589041096,20.4098904109589,10.5,76.875,61
2002,1281.24,29.85953424657534,24.404602739726027,20.39435616438356,10.5,76.875,61
2003,1371.23,29.564739726027394,24.362054794520546,20.5507397260274,10.5,76.875,61
2004,1803.3700000000001,28.93295081967213,23.859945355191257,20.02133879781421,10.5,76.875,61
2005,1794.65,28.82304109589041,24.01394520547945,20.51276712328767,10.5,76.875,61
2006,1881.51,28.686794520547945,23.749397260273973,20.119150684931505,10.5,76.875,61
2007,1835.58,28.988082191780823,23.909616438356164,20.095808219178082,10.5,76.875,61
2008,1483.97,28.593661202185793,23.494043715846995,19.752978142076504,10.5,76.875,61
2009,1488.73,29.367232876712333,24.115397260273976,20.22635616438356,10.5,76.875,61
2010,1776.68,29.125479452054794,24.261013698630137,20.690109589041096,10.5,76.875,61
2011,1524.52,28.59495890410959,23.54375342465753,19.803315068493152,10.5,76.875,61
2012,1045.43,29.757622950819673,24.29226775956284,20.265,10.5,76.875,61
2013,1489.34,29.455589041095887,24.302164383561646,20.509972602739726,10.5,76.875,61
2014,1519.18,29.39827397260274,24.387945205479454,20.64205479452055,10.5,76.875,61
2015,1290.68,29.62835616438356,24.42156164383562,20.562301369863015,10.5,76.875,61
2016,1016.1,30.587868852459017,24.882677595628415,20.73483606557377,10.5,76.875,61
2017,1613.52,29.415287671232875,24.35767123287671,20.567835616438355,10.5,76.875,61
2018,1797.4,28.970109589041098,24.06504109589041,20.318712328767123,10.5,76.875,61
2019,1808.54,30.136301369863013,24.891013698630136,20.977753424657536,10.5,76.875,61
2020,1803.53,29.556775956284156,24.610737704918034,20.92032786885246,10.5,76.875,61
2021,2116.47,28.3166301369863,23.815205479452054,20.433041095890413,10.5,76.875,61
2022,2035.82,28.541780821917808,23.833616438356167,20.305232876712328,10.5,76.875,61
2023,1582.17,29.66901369863014,24.403945205479452,20.444164383561642,10.5,76.875,61
2024,1804.17,29.755,24.894371584699453,21.229890710382513,10.5,76.875,61
2025,1667.53,28.832575342465752,24.15704109589041,20.65580821917808,10.5,76.875,61
1993,989.71,30.742821917808218,24.849178082191784,20.291123287671233,10.5,77.5,60
1994,962.29,30.050356164383558,24.362356164383563,20.039561643835615,10.5,77.5,60
1995,699.13,31.311698630136988,25.166958904109592,20.467890410958905,10.5,77.5,60
1996,903.92,31.043415300546446,24.95251366120219,20.200109289617487,10.5,77.5,60
1997,972.14,31.071205479452054,25.238219178082193,20.724246575342466,10.5,77.5,60
1998,854.01,31.35572602739726,25.61690410958904,21.1066301369863,10.5,77.5,60
1999,790.32,30.644520547945206,24.70964383561644,20.196575342465753,10.5,77.5,60
2000,784.74,31.06909836065574,25.02491803278689,20.42344262295082,10.5,77.5,60
2001,889.88,30.87515068493151,25.072273972602737,20.654575342465755,10.5,77.5,60
2002,671.23,31.866712328767125,25.552191780821914,20.759315068493148,10.5,77.5,60
2003,826.05,31.473068493150684,25.459561643835617,20.880602739726026,10.5,77.5,60
2004,1073.79,30.442459016393443,24.711393442622953,20.26016393442623,10.5,77.5,60
2005,1148.82,30.349479452054794,24.930575342465755,20.78449315068493,10.5,77.5,60
2006,975.22,30.200986301369866,24.57958904109589,20.278191780821917,10.5,77.5,60
2007,821.94,30.976438356164383,25.056246575342467,20.45082191780822,10.5,77.5,60
2008,888.41,30.517049180327867,24.601393442622953,20.143688524590164,10.5,77.5,60
2009,649.0600000000001,31.560794520547947,25.317205479452056,20.58586301369863,10.5,77.5,60
2010,946.89,31.24528767123288,25.452520547945205,20.99704109589041,10.5,77.5,60
2011,810.21,30.72558904109589,24.79115068493151,20.293835616438358,10.5,77.5,60
2012,560.63,31.921092896174866,25.585409836065573,20.765464480874318,10.5,77.5,60
2013,649.66,31.80153424657534,25.68660273972603,21.012,10.5,77.5,60
2014,736.57,31.465479452054794,25.52139726027397,20.979369863013698,10.5,77.5,60
2015,952.34,31.187534246575346,25.299232876712328,20.79945205479452,10.5,77.5,60
2016,525.0600000000001,32.56745901639344,26.051693989071037,21.10691256830601,10.5,77.5,60
2017,977.91,31.16323287671233,25.35764383561644,20.822082191780822,10.5,77.5,60
2018,862.15,31.01372602739726,25.187150684931506,20.77172602739726,10.5,77.5,60
2019,974.94,31.938465753424655,25.985945205479453,21.340301369863013,10.5,77.5,60
2020,1167.31,31.077295081967215,25.45808743169399,21.06672131147541,10.5,77.5,60
2021,1356.69,29.67912328767123,24.52649315068493,20.566082191780822,10.5,77.5,60
2022,1293.04,29.885561643835615,24.58668493150685,20.454657534246575,10.5,77.5,60
2023,1057.48,31.20057534246575,25.315890410958904,20.780986301369865,10.5,77.5,60
2024,1130.85,31.21983606557377,25.70625683060109,21.367158469945355,10.5,77.5,60
2025,898.3,30.64550684931507,25.11435616438356,20.921917808219177,10.5,77.5,60
1993,1005.31,29.02986301369863,22.976301369863016,18.350027397260273,11.5,76.875,36
1994,1047.11,28.845890410958905,22.8546301369863,18.44123287671233,11.5,76.875,36
1995,839.85,29.421698630136987,23.26227397260274,18.600876712328766,11.5,76.875,36
1996,1030.68,29.206666666666663,23.039590163934427,18.304180327868853,11.5,76.875,36
1997,1136.85,29.250821917808217,23.40449315068493,18.921917808219177,11.5,76.875,36
1998,1015.89,29.291917808219175,23.60630136986301,19.197095890410957,11.5,76.875,36
1999,878.14,29.12764383561644,22.96991780821918,18.377068493150684,11.5,76.875,36
2000,839.56,29.602185792349726,23.26469945355191,18.532868852459014,11.5,76.875,36
2001,930.42,29.361671232876713,23.382493150684933,18.86909589041096,11.5,76.875,36
2002,746.3100000000001,30.199013698630136,23.75613698630137,18.89,11.5,76.875,36
2003,732.61,30.176794520547947,23.855068493150686,19.166493150684932,11.5,76.875,36
